date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-18,microg/m3,V1,C4H8_1b,PDBL,C4H8b_PDBL,,0.375,
2024-06-13,microg/m3,V7,C4H8_c2b,PDBL,C4H8cis_PDBL,0.062272727272727285,0.9565217391304348,0.12
2024-06-14,microg/m3,V7,C4H8_c2b,PDBL,C4H8cis_PDBL,0.8091304347826087,0.9583333333333334,3.63
2024-06-15,microg/m3,V7,C4H8_c2b,PDBL,C4H8cis_PDBL,0.21083333333333334,1.0,1.83
2024-06-16,microg/m3,V7,C4H8_c2b,PDBL,C4H8cis_PDBL,0.17708333333333334,1.0,1.87
2024-06-17,microg/m3,V7,C4H8_c2b,PDBL,C4H8cis_PDBL,,0.7083333333333334,
2024-06-18,microg/m3,V7,C4H8_c2b,PDBL,C4H8cis_PDBL,,0.375,
2024-06-13,microg/m3,VL,C5H10_1p,PDBL,C5H10_PDBL,0.02681818181818182,0.9565217391304348,0.23
2024-06-14,microg/m3,VL,C5H10_1p,PDBL,C5H10_PDBL,0.7643478260869564,0.9583333333333334,4.43
2024-06-15,microg/m3,VL,C5H10_1p,PDBL,C5H10_PDBL,0.08583333333333336,1.0,1.11
2024-06-16,microg/m3,VL,C5H10_1p,PDBL,C5H10_PDBL,0.1829166666666667,1.0,3.64
2024-06-17,microg/m3,VL,C5H10_1p,PDBL,C5H10_PDBL,,0.7083333333333334,
2024-06-18,microg/m3,VL,C5H10_1p,PDBL,C5H10_PDBL,,0.375,
2024-06-13,microg/m3,WI,C5H10_c2p,PDBL,C5H10c_PDBL,0.025454545454545455,0.9565217391304348,0.28
2024-06-14,microg/m3,WI,C5H10_c2p,PDBL,C5H10c_PDBL,0.76,0.9583333333333334,4.73
2024-06-15,microg/m3,WI,C5H10_c2p,PDBL,C5H10c_PDBL,0.06375,1.0,1.14
2024-06-16,microg/m3,WI,C5H10_c2p,PDBL,C5H10c_PDBL,0.155,1.0,3.17
2024-06-17,microg/m3,WI,C5H10_c2p,PDBL,C5H10c_PDBL,,0.7083333333333334,
2024-06-18,microg/m3,WI,C5H10_c2p,PDBL,C5H10c_PDBL,,0.375,
2024-06-13,microg/m3,Ut,C5H10_cp,PDBL,C5H10p_PDBL,0.12590909090909086,0.9565217391304348,0.83
2024-06-14,microg/m3,Ut,C5H10_cp,PDBL,C5H10p_PDBL,0.8186956521739132,0.9583333333333334,5.75
2024-06-15,microg/m3,Ut,C5H10_cp,PDBL,C5H10p_PDBL,0.3179166666666667,1.0,1.85
2024-06-16,microg/m3,Ut,C5H10_cp,PDBL,C5H10p_PDBL,0.22083333333333335,1.0,2.92
2024-06-17,microg/m3,Ut,C5H10_cp,PDBL,C5H10p_PDBL,,0.7083333333333334,
2024-06-18,microg/m3,Ut,C5H10_cp,PDBL,C5H10p_PDBL,,0.375,
