date,phy_name,id,id_phy,id_site,unit,value,Aluminium in PM1,Silicium in PM1,Souffre in PM1,Chlore in PM1,Potassium in PM1,Calcium in PM1,Titane in PM1,Vanadium in PM1,Chrome in PM,Manganese in PM1,Fer in PM1,Cobalt in PM1,Nickel in PM1,Cuivre in PM1,Zinc in PM1,Arsenic in PM1,Selenium in PM1,Brome in PM1,Cadmium in PM1,Antimoine in PM1,Baryum in PM1,Plomb in PM1,Mercure in PM1,Bismuth in PM1
2024-06-16 10:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 11:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 12:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 13:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 14:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 15:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 16:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 17:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 18:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 19:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 20:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 21:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 22:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 23:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 00:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 01:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 02:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 03:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 04:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 05:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 06:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 07:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 08:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 09:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 10:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 11:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 12:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 13:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 14:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 15:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 16:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 17:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 18:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 19:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 20:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 21:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 22:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17 23:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 00:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 01:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 02:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 03:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 04:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 05:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 06:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 07:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 08:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 09:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 10:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 11:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 12:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 13:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 14:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 15:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 16:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 17:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 18:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 19:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 20:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 21:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 22:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 23:00:00,Métaux Lourds,MLFSCB,ML,FSCB,μg/m3,,,,,,,,,,,,,,,,,,,,,,,,,
