date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-15,microg/m3,03,NO2,GAPJAURES,N2GAPJAURES,19.750000000000004,1.0,32.3
2024-06-16,microg/m3,03,NO2,GAPJAURES,N2GAPJAURES,8.0875,1.0,20.7
2024-06-17,microg/m3,03,NO2,GAPJAURES,N2GAPJAURES,13.579166666666666,1.0,23.4
2024-06-18,microg/m3,03,NO2,GAPJAURES,N2GAPJAURES,,0.4166666666666667,
2024-06-13,microg/m3,02,NO,GAPJAURES,NOGAPJAURES,7.360869565217389,1.0,18.0
2024-06-14,microg/m3,02,NO,GAPJAURES,NOGAPJAURES,13.483333333333334,1.0,75.8
2024-06-15,microg/m3,02,NO,GAPJAURES,NOGAPJAURES,15.0,1.0,30.1
2024-06-16,microg/m3,02,NO,GAPJAURES,NOGAPJAURES,5.120833333333333,1.0,11.4
2024-06-17,microg/m3,02,NO,GAPJAURES,NOGAPJAURES,9.25,1.0,23.2
2024-06-18,microg/m3,02,NO,GAPJAURES,NOGAPJAURES,,0.4166666666666667,
2024-06-13,microg/m3,12,NOX,GAPJAURES,NXGAPJAURES,22.8608695652174,1.0,49.1
2024-06-14,microg/m3,12,NOX,GAPJAURES,NXGAPJAURES,37.42916666666667,1.0,165.0
2024-06-15,microg/m3,12,NOX,GAPJAURES,NXGAPJAURES,42.71666666666667,1.0,78.0
2024-06-16,microg/m3,12,NOX,GAPJAURES,NXGAPJAURES,15.920833333333333,1.0,35.9
2024-06-17,microg/m3,12,NOX,GAPJAURES,NXGAPJAURES,27.70416666666667,1.0,58.4
2024-06-18,microg/m3,12,NOX,GAPJAURES,NXGAPJAURES,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,GAPJAURES,PCGAPJAURES,9.95217391304348,1.0,18.0
2024-06-14,microg/m3,24,PM10,GAPJAURES,PCGAPJAURES,8.766666666666666,1.0,16.0
2024-06-15,microg/m3,24,PM10,GAPJAURES,PCGAPJAURES,10.4625,1.0,19.2
2024-06-16,microg/m3,24,PM10,GAPJAURES,PCGAPJAURES,8.266666666666667,1.0,16.9
2024-06-17,microg/m3,24,PM10,GAPJAURES,PCGAPJAURES,13.4,1.0,20.9
2024-06-18,microg/m3,24,PM10,GAPJAURES,PCGAPJAURES,,0.4166666666666667,
2024-06-13,microg/m3,08,O3,OHP,O3OHP,89.56521739130434,1.0,108.2
2024-06-14,microg/m3,08,O3,OHP,O3OHP,86.84166666666668,1.0,99.4
2024-06-15,microg/m3,08,O3,OHP,O3OHP,80.28333333333335,1.0,91.4
2024-06-16,microg/m3,08,O3,OHP,O3OHP,72.1083333333333,1.0,85.1
2024-06-17,microg/m3,08,O3,OHP,O3OHP,83.80833333333332,1.0,103.3
2024-06-18,microg/m3,08,O3,OHP,O3OHP,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,GAPJAURES,BDGAPJAURES,9.95217391304348,1.0,18.0
2024-06-14,microg/m3,24,PM10,GAPJAURES,BDGAPJAURES,8.766666666666666,1.0,16.0
2024-06-15,microg/m3,24,PM10,GAPJAURES,BDGAPJAURES,10.4625,1.0,19.2
2024-06-16,microg/m3,24,PM10,GAPJAURES,BDGAPJAURES,8.266666666666667,1.0,16.9
2024-06-17,microg/m3,24,PM10,GAPJAURES,BDGAPJAURES,13.4,1.0,20.9
2024-06-18,microg/m3,24,PM10,GAPJAURES,BDGAPJAURES,,0.375,
2024-06-13,microg/m3,39,PM2.5,GAPJAURES,B2GAPJAURES,4.547826086956522,1.0,9.3
2024-06-14,microg/m3,39,PM2.5,GAPJAURES,B2GAPJAURES,5.820833333333333,1.0,9.5
2024-06-15,microg/m3,39,PM2.5,GAPJAURES,B2GAPJAURES,6.920833333333333,1.0,14.0
2024-06-16,microg/m3,39,PM2.5,GAPJAURES,B2GAPJAURES,3.8791666666666664,1.0,8.7
2024-06-17,microg/m3,39,PM2.5,GAPJAURES,B2GAPJAURES,6.825,1.0,12.9
2024-06-18,microg/m3,39,PM2.5,GAPJAURES,B2GAPJAURES,,0.375,
2024-06-13,microg/m3,39,PM2.5,GAPJAURES,P2GAPJAURES,4.547826086956522,1.0,9.3
2024-06-14,microg/m3,39,PM2.5,GAPJAURES,P2GAPJAURES,5.820833333333333,1.0,9.5
